customer_id,age,country,orders,revenue,last_purchase_date
1,23,Jordan,3,560.62,2024-06-20
2,34,Egypt,8,871.38,2024-04-05
3,30,Saudi Arabia,7,572.75,2024-09-15
4,39,Egypt,1,83.85,2024-11-11
5,33,Jordan,5,629.46,2024-03-26
6,40,UAE,8,849.2,2024-08-27
7,23,UAE,6,90.0,2024-03-19
8,25,UAE,3,360.51,2024-07-26
9,41,UAE,4,401.14,2024-01-03
10,18,Egypt,4,203.53,2024-02-22
11,29,Egypt,4,974.08,2024-11-06
12,18,UAE,5,1096.89,2024-02-19
13,43,Saudi Arabia,4,361.05,2024-11-10
14,55,Egypt,7,438.52,2024-02-16
15,46,Egypt,3,488.71,2024-07-16
16,31,Egypt,8,996.64,2024-02-29
17,49,Egypt,4,485.03,2024-04-23
18,36,UAE,5,833.27,2024-03-04
19,18,UAE,4,522.15,2024-04-13
20,37,Egypt,8,1259.58,2024-05-18
21,48,UAE,2,355.42,2024-05-26
22,34,UAE,4,71.08,2024-10-07
23,23,Egypt,5,329.58,2024-09-23
24,48,Egypt,2,191.86,2024-02-04
25,45,UAE,5,1005.24,2024-11-14
26,36,Morocco,3,484.28,2024-12-10
27,44,Jordan,6,719.15,2024-08-25
28,35,UAE,6,188.94,2024-01-26
29,50,Saudi Arabia,6,404.87,2024-02-11
30,29,Saudi Arabia,4,507.0,2024-06-29
31,33,Saudi Arabia,3,506.17,2024-01-16
32,50,Jordan,6,936.99,2024-08-11
33,32,Lebanon,2,410.15,2024-01-06
34,45,Egypt,8,462.4,2024-08-06
35,39,Saudi Arabia,6,699.86,2024-09-03
36,44,Jordan,2,189.17,2024-06-28
37,42,UAE,5,601.06,2024-05-19
38,38,Jordan,4,450.44,2024-09-17
39,22,Egypt,5,602.47,2024-02-26
40,29,Morocco,6,783.07,2024-11-23
41,40,Egypt,5,712.1,2024-12-21
42,58,Egypt,4,657.23,2024-10-28
43,31,Egypt,4,416.28,2024-09-25
44,41,Egypt,2,59.66,2024-11-17
45,18,Jordan,3,227.87,2024-08-19
46,22,UAE,4,737.84,2024-03-13
47,35,Morocco,6,90.0,2024-12-16
48,43,Egypt,6,864.75,2024-01-10
49,48,Morocco,5,809.25,2024-08-09
50,31,UAE,4,570.2,2024-05-29
51,29,Morocco,5,274.07,2024-01-03
52,43,Saudi Arabia,6,704.33,2024-07-03
53,49,Jordan,7,801.16,2024-02-09
54,37,Egypt,4,674.17,2024-02-13
55,36,Egypt,7,1109.92,2024-11-22
56,53,Saudi Arabia,8,525.76,2024-04-28
57,24,Egypt,3,45.0,2024-08-07
