order_id,customer_id,order_date,product,category,quantity,price,discount,country,revenue
500000,370,2024-01-12,Toys Item 16,Toys,1,44.34,0.0,UAE,44.34
500001,343,2024-04-15,Grocery Item 9,Grocery,5,64.8,0.1,Saudi Arabia,291.6
500002,190,2024-07-07,Grocery Item 39,Grocery,5,88.32,0.05,Lebanon,419.52
500003,28,2024-07-13,Home Item 12,Home,1,115.16,0.05,Egypt,109.4
500004,34,2024-06-02,Home Item 1,Home,2,128.94,0.15,Lebanon,219.2
500005,204,2024-02-16,Toys Item 14,Toys,2,104.39,0.0,Egypt,208.78
500006,13,2024-05-30,Sports Item 21,Sports,2,24.48,0.0,Egypt,48.96
500007,423,2024-09-10,Electronics Item 35,Electronics,3,119.45,0.2,Egypt,286.68
500008,554,2024-12-29,Home Item 35,Home,2,20.91,0.0,Egypt,41.82
500009,584,2024-10-28,Sports Item 3,Sports,1,134.45,0.25,Egypt,100.84
500010,31,2024-03-12,Toys Item 10,Toys,4,159.02,0.05,Lebanon,604.28
500011,231,2024-03-02,Home Item 36,Home,3,121.88,0.0,Egypt,365.64
500012,317,2024-07-17,Fashion Item 9,Fashion,1,111.77,0.05,UAE,106.18
500013,67,2024-12-12,Sports Item 18,Sports,3,147.39,0.0,UAE,442.17
500014,576,2024-08-30,Toys Item 32,Toys,4,84.48,0.1,Morocco,304.13
500015,309,2024-03-14,Sports Item 28,Sports,5,44.75,0.2,Egypt,179.0
500016,85,2024-12-30,Fashion Item 33,Fashion,4,120.21,0.0,Morocco,480.84
500017,203,2024-03-28,Home Item 35,Home,5,52.02,0.2,Saudi Arabia,208.08
500018,488,2024-06-10,Sports Item 27,Sports,4,124.77,0.0,Saudi Arabia,499.08
500019,61,2024-12-22,Electronics Item 5,Electronics,2,127.35,0.0,Jordan,254.7
500020,348,2024-07-30,Toys Item 23,Toys,5,266.85,0.1,Egypt,1200.82
500021,113,2024-07-04,Grocery Item 29,Grocery,3,30.81,0.1,Egypt,83.19
500022,92,2024-03-05,Sports Item 6,Sports,5,42.42,0.0,Egypt,212.1
500023,252,2024-11-13,Fashion Item 23,Fashion,3,94.92,0.0,Egypt,284.76
500024,297,2024-08-01,Sports Item 26,Sports,3,39.56,0.25,Egypt,89.01
500025,314,2024-11-02,Sports Item 36,Sports,4,45.56,0.0,Egypt,182.24
500026,333,2024-12-18,Grocery Item 23,Grocery,3,31.47,0.1,UAE,84.97
500027,374,2024-12-20,Sports Item 35,Sports,3,25.45,0.2,Egypt,61.08
500028,306,2024-07-26,Home Item 28,Home,2,76.04,0.0,Egypt,152.08
500029,500,2024-12-25,Grocery Item 4,Grocery,3,530.98,0.0,Egypt,1592.94
500030,265,2024-10-21,Electronics Item 31,Electronics,4,109.96,0.0,UAE,439.84
500031,123,2024-09-18,Home Item 4,Home,5,45.47,0.25,Saudi Arabia,170.51
500032,206,2024-03-02,Toys Item 1,Toys,5,20.46,0.2,UAE,81.84
