employee_id,department,age,experience_years,salary,performance_score,attrition
1,Engineering,31,5,10534.83,4.9,No
2,Marketing,23,1,6515.37,4.7,No
3,Engineering,25,1,9700.45,3.1,No
4,Sales,33,10,9904.07,3.8,No
5,Engineering,28,6,11652.78,3.1,No
6,Engineering,31,5,11836.75,2.6,No
7,Finance,23,0,6985.98,4.7,No
8,Support,36,10,8992.25,3.1,No
9,Engineering,26,0,8768.81,3.5,No
10,Engineering,30,2,9513.92,4.5,No
11,HR,30,2,7270.54,3.1,No
12,Sales,29,4,8004.86,3.7,No
13,Finance,29,1,7639.94,2.6,No
14,Marketing,33,7,8679.44,2.1,No
15,Sales,25,2,7766.58,4.2,No
16,Engineering,42,14,13163.51,4.0,No
17,Finance,34,11,10170.56,3.6,No
18,Finance,26,1,8694.76,3.7,No
19,Engineering,31,6,9994.5,4.1,No
20,Support,30,1,5781.86,2.4,No
21,Support,26,0,5980.24,2.7,No
22,Engineering,25,0,8347.68,4.0,No
23,Engineering,26,0,9126.65,3.2,No
24,Marketing,22,0,7357.74,4.1,No
25,Finance,30,2,8375.84,4.1,No
26,HR,37,9,8122.81,3.1,No
27,Engineering,30,2,9684.75,2.8,No
28,Engineering,27,1,8785.92,3.5,No
29,HR,40,18,10828.91,4.2,Yes
30,Sales,25,0,6204.17,3.0,Yes
31,Sales,30,1,6589.0,3.8,No
32,HR,27,3,8462.22,3.2,No
33,Finance,26,2,6175.08,3.7,No
34,Engineering,32,3,8426.56,2.9,No
35,Engineering,29,0,9177.12,3.8,No
36,Sales,25,3,9262.29,3.7,No
37,Support,32,4,5750.55,3.4,No
38,Marketing,25,0,6450.37,2.8,No
39,Support,24,0,4059.78,3.3,Yes
40,Support,33,4,7733.63,3.9,No
41,Engineering,24,1,9797.66,3.9,Yes
42,Marketing,31,2,7773.72,3.8,No
43,Sales,28,1,8294.94,4.0,No
44,Support,31,4,7552.66,4.0,No
45,Support,33,6,6576.85,3.3,No
46,Sales,28,0,7881.85,3.5,No
47,Engineering,33,5,10907.82,1.6,Yes
48,Support,28,2,6091.95,4.4,No
49,HR,40,12,9605.3,3.6,Yes
50,Support,27,1,5207.55,3.0,No
51,Marketing,28,0,7071.99,4.0,No
52,Support,22,0,5556.3,2.8,No
53,Marketing,26,2,6140.05,3.8,No
54,Sales,28,0,6705.98,4.4,No
55,Support,27,3,7113.72,3.0,No
56,Engineering,28,3,9022.8,4.6,No
57,Sales,37,9,8868.19,4.2,No
58,Engineering,26,0,8865.93,4.6,No
59,Support,26,4,6055.56,1.9,Yes
60,Sales,25,3,7163.26,2.4,No
61,Finance,25,0,6969.08,3.2,Yes
62,Finance,29,1,7369.12,3.3,No
63,HR,26,2,7128.59,2.7,No
64,Support,27,4,4622.22,3.2,No
65,Marketing,26,1,7584.88,4.3,Yes
66,Engineering,26,1,9787.66,3.9,No
67,Marketing,28,1,8443.66,4.5,No
68,Support,27,0,5851.31,4.7,No
69,Support,40,12,8059.42,4.4,No
70,Engineering,29,0,10665.55,2.6,No
71,Sales,29,1,7409.11,4.3,No
72,Engineering,25,2,10559.45,4.3,No
73,Marketing,32,3,6369.03,3.1,No
74,Engineering,32,9,9351.16,3.2,No
75,Marketing,30,6,9056.17,3.3,No
76,Support,32,3,6264.99,4.4,No
77,Engineering,29,2,8476.83,3.4,No
78,Engineering,23,0,9747.18,3.4,No
79,Marketing,28,0,5427.94,3.1,No
80,Marketing,28,0,7006.09,4.8,No
81,Sales,29,5,9595.97,3.1,No
82,Sales,38,16,11832.38,3.1,No
83,Sales,30,2,7843.53,4.2,No
84,Sales,30,2,7130.0,4.2,No
85,Support,41,13,9098.45,3.6,Yes
86,Engineering,31,6,10208.39,2.4,Yes
87,Finance,25,0,7645.47,3.5,No
88,Support,30,3,6251.87,4.2,No
89,Sales,31,4,8101.07,3.6,No
90,Sales,23,1,7914.26,2.9,No
91,Sales,26,0,7637.81,3.1,No
92,Engineering,23,0,10214.95,3.8,No
93,Sales,32,4,7031.45,3.4,No
94,Marketing,30,2,6037.46,4.3,No
95,Support,29,0,4743.68,4.5,No
96,HR,31,8,8613.08,2.0,No
97,Finance,32,6,9469.21,3.7,No
98,Engineering,28,6,11406.23,3.6,Yes
99,Sales,28,6,9871.95,2.5,No
100,Marketing,28,0,7771.12,4.3,No
101,Engineering,30,4,10253.92,4.7,No
102,Engineering,35,10,12351.62,4.3,Yes
103,Sales,25,2,7031.84,2.6,No
104,Engineering,28,3,9662.71,3.7,No
105,Finance,24,1,8739.58,3.2,No
106,Engineering,37,11,11612.36,3.9,No
107,Sales,39,10,8891.78,4.3,No
108,Sales,27,4,8113.12,4.0,No
109,Engineering,28,3,10964.93,3.1,Yes
110,Sales,30,2,7581.68,3.5,No
111,Finance,26,3,7662.24,3.9,Yes
112,HR,33,4,7337.39,3.3,No
113,Marketing,25,1,6981.54,2.5,No
114,Finance,35,7,10104.74,3.4,No
115,Support,24,1,6051.07,3.1,Yes
116,Engineering,49,22,16606.07,3.3,No
117,Engineering,38,10,12345.67,3.4,No
118,HR,31,4,8293.2,4.3,No
119,Sales,35,9,9614.07,5.0,No
120,HR,50,25,13540.8,5.0,No
121,Sales,42,16,13585.41,4.2,No
122,Engineering,29,1,10599.28,3.5,Yes
123,Engineering,22,0,8146.54,3.8,No
124,HR,27,2,7820.64,2.5,Yes
125,Engineering,30,1,9685.26,3.9,No
126,Engineering,30,2,10295.67,3.4,No
127,Sales,24,0,6118.52,3.0,No
128,Engineering,25,0,8757.6,2.8,Yes
129,HR,24,1,5823.81,3.8,No
130,HR,33,7,7941.87,2.9,No
131,Support,28,0,5006.84,3.2,No
132,Engineering,26,0,9607.19,4.1,No
133,Engineering,26,4,10507.25,3.0,No
134,HR,31,9,9813.06,4.0,Yes
135,Engineering,30,6,10604.88,3.3,No
136,Support,34,6,8360.24,2.7,No
137,Sales,29,0,7034.16,2.9,No
138,Sales,27,1,7176.25,2.3,Yes
139,Sales,26,0,7670.78,3.1,No
140,Engineering,35,10,12093.22,4.4,No
141,Engineering,25,2,9427.87,3.1,No
142,Engineering,23,0,9985.63,3.0,No
143,Engineering,23,0,8887.51,4.0,No
144,Engineering,30,5,11616.98,3.9,No
145,Sales,26,3,6994.86,3.6,No
146,Marketing,29,0,7644.42,2.3,Yes
147,Engineering,25,1,8148.1,3.7,No
148,Engineering,28,0,9125.96,3.2,No
149,Engineering,29,0,10563.07,3.4,No
150,HR,48,24,13250.71,4.2,No
151,Sales,30,2,7400.13,3.7,Yes
152,Engineering,24,2,10050.91,4.2,No
153,Engineering,31,7,11249.97,4.6,No
154,Support,27,2,6964.03,2.9,Yes
155,Engineering,25,2,11096.98,3.6,No
156,Support,40,18,11157.7,4.0,No
157,HR,31,2,4793.55,4.0,No
158,Sales,26,3,8053.22,2.9,No
159,Finance,31,7,9512.42,3.3,Yes
160,HR,30,1,6788.56,3.7,No
161,Finance,36,7,10277.66,2.9,No
162,Engineering,31,3,8025.01,4.1,No
163,Sales,41,16,13151.98,3.3,No
164,Sales,26,0,6079.82,3.9,Yes
165,Marketing,28,1,5318.79,4.8,No
166,Sales,31,8,8394.09,2.8,No
167,Marketing,39,15,11092.37,4.3,No
168,Support,23,1,6011.54,2.6,No
169,Sales,23,0,7028.0,2.9,No
170,Support,29,3,4974.43,2.9,No
171,Engineering,24,2,10169.66,4.2,No
172,Marketing,31,3,4730.13,3.8,No
173,Marketing,25,0,7894.96,2.9,No
174,Finance,25,1,8609.78,3.0,No
175,HR,25,0,6134.01,3.2,No
176,Support,27,5,6864.53,3.1,No
177,Engineering,31,4,11296.06,5.0,No
178,Support,30,6,7480.52,4.1,No
179,HR,33,4,6265.6,3.4,No
180,Sales,38,12,10408.42,2.5,No
181,Finance,27,0,6660.52,2.8,No
182,Sales,29,1,6110.38,3.6,No
183,Marketing,35,8,9457.16,5.0,No
184,HR,25,2,6311.01,4.5,No
185,Marketing,31,3,7884.81,3.6,No
186,Engineering,23,1,8445.06,3.9,No
187,Engineering,32,6,9695.47,3.4,No
188,Sales,24,1,7585.68,3.2,No
189,Marketing,43,17,11255.52,4.2,No
190,Engineering,23,0,8656.73,3.7,No
