house_id,area_m2,rooms,location,year_built,price
1,84.5,2,Downtown,2014,99598.74
2,179.9,4,Downtown,1977,188232.87
3,150.8,4,Rural,1984,56770.85
4,186.7,5,Business District,2002,259705.36
5,155.5,4,Downtown,2003,186036.15
6,180.7,5,Business District,1998,244707.51
7,159.9,4,Rural,1993,70592.49
8,153.9,4,Coastal,2008,212654.55
9,173.4,4,Coastal,2016,209134.49
10,64.4,2,Suburbs,1984,180683.2249455894
11,200.2,5,Coastal,1990,263539.75
12,88.8,2,Suburbs,2001,63601.56
13,135.3,3,Downtown,1997,174640.57
14,137.5,3,Business District,2001,164003.87
15,132.0,3,Coastal,1989,144268.16
16,301.1,7,Downtown,1986,227132.8
17,226.0,6,Rural,2000,91924.54
18,189.4,5,Business District,1977,210401.88
19,166.4,4,Business District,2012,261686.14
20,162.6,4,Suburbs,2014,109218.3
21,183.6,5,Business District,2014,238528.91
22,213.2,5,Downtown,2020,230616.61
23,162.6,4,Suburbs,1993,116578.04
24,113.9,3,Suburbs,2012,77053.17
25,128.0,3,Business District,1998,132001.3
26,62.5,2,Downtown,1989,64552.79
27,90.2,2,Rural,2002,36221.98
28,169.8,4,Downtown,2004,211405.99
29,124.4,3,Rural,2006,159072.52987172178
30,79.7,2,Suburbs,2006,65174.39
31,130.9,3,Business District,2003,180533.26
32,169.4,4,Suburbs,1984,114731.46
33,90.8,2,Downtown,1976,104701.13
34,139.4,3,Suburbs,2014,98533.25
35,115.9,3,Suburbs,1986,65578.06
36,127.0,3,Downtown,1979,149057.0
37,187.0,5,Suburbs,2008,130997.86
38,124.0,3,Rural,1991,50824.54
39,162.6,4,Coastal,2007,214359.24
40,181.2,5,Suburbs,2002,130286.38
41,141.9,4,Suburbs,2010,91305.58
42,147.5,4,Rural,1991,55945.87
43,149.8,4,Coastal,1975,183242.27
44,138.2,3,Suburbs,2014,106191.43
45,53.6,1,Suburbs,1979,34883.6
46,239.5,6,Rural,2005,118763.44
47,96.6,2,Downtown,1992,107180.15
48,203.0,5,Downtown,2017,238117.22
49,84.9,2,Suburbs,2022,62736.14
50,228.4,6,Downtown,1996,262000.24
51,193.0,5,Rural,1986,77884.68
52,96.7,2,Downtown,2005,118345.47
53,156.6,4,Downtown,2017,178286.77
54,168.3,4,Business District,1981,194127.7
55,132.5,3,Suburbs,2023,83403.77
56,112.2,3,Suburbs,2000,74375.58
57,138.9,3,Suburbs,1994,80596.84
58,166.1,4,Downtown,1998,180439.79
59,133.1,3,Rural,2022,61018.76
60,48.3,1,Suburbs,2002,36859.93
61,40.0,1,Suburbs,1984,30707.82
62,169.5,4,Downtown,1976,144696.29
63,93.7,2,Suburbs,1978,51693.63
64,194.2,5,Downtown,1977,176832.07
65,191.8,5,Downtown,2003,222588.04
66,134.6,3,Rural,2012,59760.03
67,93.6,2,Downtown,1984,97599.16
68,40.0,1,Downtown,1984,41251.77
69,141.5,4,Rural,1992,54481.3
70,196.5,5,Coastal,1978,221362.13
71,81.2,2,Downtown,2023,116426.84
72,167.0,4,Downtown,2022,209609.13
73,133.5,3,Coastal,1988,178497.33
74,134.8,3,Downtown,1978,143216.82
75,197.1,5,Suburbs,2001,135002.78
76,74.7,2,Rural,1978,27293.64
77,162.5,4,Suburbs,1997,108279.58
78,60.7,2,Rural,2017,28293.03
79,76.2,2,Coastal,1991,74787.51
80,176.7,4,Downtown,2005,772468.7003843467
81,105.0,3,Coastal,2016,158508.05
82,208.5,5,Business District,2012,254270.8
83,241.4,6,Coastal,2011,362093.58
84,242.5,6,Suburbs,1996,163639.72
85,149.5,4,Rural,2008,225183.33510532053
86,46.4,1,Rural,1982,15000.0
87,177.3,4,Suburbs,2022,145283.82
88,213.1,5,Suburbs,2015,170308.38
89,116.0,3,Downtown,2002,151653.77
90,150.7,4,Business District,1992,199089.42
91,58.8,1,Rural,2010,25628.32
92,65.0,2,Coastal,1999,70963.72
93,119.8,3,Business District,1980,130644.89
94,125.1,3,Downtown,2020,188758.42
95,181.5,5,Rural,1992,68899.52
96,153.4,4,Suburbs,1991,95691.05
97,229.3,6,Suburbs,1984,136319.13
98,133.5,3,Downtown,1984,143106.46
99,175.3,4,Downtown,2023,250842.89
100,191.1,5,Downtown,2008,217634.55
101,79.9,2,Suburbs,2017,59038.28
102,106.9,3,Downtown,1994,124012.91
103,111.6,3,Business District,2006,183092.41
104,218.5,5,Coastal,1978,256758.8
105,116.0,3,Rural,1988,45591.18
106,179.4,4,Downtown,2022,247885.87
107,175.6,4,Suburbs,1999,135826.31
108,135.9,3,Downtown,2013,180025.1
109,148.1,4,Suburbs,2013,101848.9
110,147.0,4,Downtown,1993,141340.64
111,64.2,2,Rural,1994,25506.55
112,184.3,5,Rural,1976,68211.75
113,159.4,4,Suburbs,1985,103734.21
114,262.7,7,Downtown,1982,263861.07
115,40.0,1,Suburbs,1980,23088.43
116,228.3,6,Rural,1997,95137.21
117,124.5,3,Coastal,1999,155246.08
118,169.4,4,Coastal,2016,216056.05
119,127.3,3,Suburbs,2002,100902.8
120,304.1,7,Coastal,1977,330608.57
121,76.4,2,Business District,1991,108354.02
122,132.3,3,Downtown,2018,177566.68
123,235.0,6,Downtown,2013,245819.11
124,160.8,4,Downtown,1976,155465.67
125,141.5,4,Downtown,2013,174015.08
126,126.4,3,Coastal,2005,163260.5
127,228.5,6,Business District,2011,294991.19
128,159.2,4,Business District,1987,208971.61
129,187.5,5,Downtown,2009,213195.72
130,205.8,5,Suburbs,2007,139123.18
131,84.2,2,Coastal,2010,124869.37
132,126.9,3,Downtown,2012,157543.66
133,105.1,3,Downtown,1996,107617.08
134,99.8,2,Business District,1982,125448.93
135,216.7,5,Downtown,2019,303022.81
136,133.5,3,Suburbs,2001,98906.63
137,153.6,4,Rural,2007,59506.67
138,40.0,1,Suburbs,1975,25376.02
139,197.8,5,Suburbs,2018,129445.49
140,122.9,3,Coastal,2022,153759.48
141,70.6,2,Suburbs,2022,54016.02
142,111.9,3,Coastal,2022,185672.28
143,142.3,4,Business District,2013,188018.65
144,56.1,1,Downtown,1999,55611.76
145,61.6,2,Suburbs,1986,43562.34
146,85.5,2,Business District,2003,116456.91
147,196.3,5,Coastal,2008,333094.95
148,148.2,4,Coastal,1999,207446.2
149,139.7,3,Suburbs,2006,94417.6
150,76.5,2,Suburbs,2010,63922.53
151,87.4,2,Downtown,2017,103401.72
152,76.5,2,Rural,1977,31573.58
153,158.1,4,Business District,2019,216565.88
154,171.6,4,Downtown,1975,153852.78
155,101.9,3,Suburbs,2009,72031.77
156,40.0,1,Rural,1990,17007.45
157,150.4,4,Rural,2008,59711.58
158,103.9,3,Suburbs,2007,72232.89
159,233.7,6,Downtown,1988,240684.24
160,165.2,4,Suburbs,1979,94954.45
161,84.9,2,Downtown,2022,107210.98
162,177.5,4,Coastal,2023,260423.55
163,212.1,5,Suburbs,1979,134842.08
164,217.0,5,Business District,1987,243472.65
165,98.6,2,Rural,2002,41055.75
166,121.2,3,Suburbs,1975,73012.83
167,72.1,2,Business District,1984,78616.34
168,87.3,2,Suburbs,2014,64349.61
169,195.0,5,Rural,1977,76077.12
170,104.4,3,Business District,1997,173419.58
171,119.7,3,Business District,1995,136223.96
172,86.9,2,Business District,1979,108389.01
173,174.8,4,Suburbs,2014,130180.69
174,176.2,4,Rural,1997,70089.22
175,167.6,4,Rural,2006,73709.97
176,229.8,6,Downtown,1990,204535.67
177,187.3,5,Suburbs,2022,124727.91
178,82.3,2,Coastal,2011,131807.16
179,142.3,4,Suburbs,1977,81960.01
180,199.3,5,Business District,1985,210129.53
181,197.1,5,Suburbs,1985,150852.14
182,90.8,2,Suburbs,2013,63674.16
183,101.3,3,Coastal,1992,121663.34
184,197.6,5,Rural,1989,61053.65
185,109.5,3,Suburbs,2006,68680.41
186,129.8,3,Downtown,2023,135816.8
187,81.1,2,Downtown,2023,98792.94
188,141.5,4,Coastal,2018,215079.95
189,95.2,2,Coastal,1999,129236.01
190,158.7,4,Downtown,1995,181835.7
191,40.0,1,Downtown,2008,56166.94
192,40.0,1,Rural,1991,16515.71
193,177.4,4,Downtown,2003,218276.5
194,179.3,4,Coastal,2006,246518.91
195,134.9,3,Coastal,1983,164715.52
196,175.1,4,Downtown,2013,199038.64
197,48.0,1,Suburbs,2015,37815.44
198,145.1,4,Suburbs,1980,101846.97
199,104.3,3,Coastal,2001,114842.32
200,138.3,3,Suburbs,1984,83668.44
201,172.7,4,Suburbs,2013,124556.62
202,163.1,4,Rural,2003,71180.31
203,179.4,4,Rural,2019,88665.16
204,103.2,3,Downtown,1975,108078.64
205,155.5,4,Suburbs,1981,104791.11
206,173.7,4,Business District,2002,259586.75
207,157.0,4,Suburbs,2023,109379.38
208,162.5,4,Suburbs,2005,130444.39
209,95.4,2,Rural,1979,31570.25
210,214.7,5,Downtown,2009,252186.81
211,152.7,4,Suburbs,1991,107329.42
212,151.6,4,Rural,1978,65077.74
213,192.7,5,Downtown,1999,233285.65
214,192.3,5,Business District,1975,232107.48
215,205.2,5,Suburbs,2000,164804.86
216,44.3,1,Suburbs,1999,27916.65
217,144.8,4,Suburbs,2000,119178.1
218,118.4,3,Rural,2011,167141.6717438809
219,188.5,5,Suburbs,1990,145061.49
220,104.9,3,Suburbs,2013,84054.72
221,50.1,1,Downtown,1992,55142.89
222,159.8,4,Downtown,2017,213758.56
223,169.0,4,Suburbs,2013,136421.29
224,140.6,4,Coastal,2000,162494.78
225,185.5,5,Downtown,2016,173363.96
226,138.0,3,Suburbs,1984,92424.31
227,77.5,2,Coastal,1994,92317.34
228,232.3,6,Suburbs,2021,165850.21
229,133.0,3,Downtown,2022,172885.62
230,84.8,2,Suburbs,1981,49098.35
231,166.9,4,Suburbs,1982,118346.95
232,40.0,1,Rural,1995,15000.0
233,186.1,5,Downtown,2018,228006.21
234,112.4,3,Business District,1997,144505.42
235,92.9,2,Coastal,2015,144816.3
236,183.6,5,Business District,1994,281537.53
237,106.3,3,Suburbs,2021,87243.24
238,120.9,3,Downtown,2015,169286.14
239,93.6,2,Downtown,2000,99634.94
240,94.0,2,Downtown,1984,91047.13
241,117.9,3,Rural,1988,43127.64
242,167.6,4,Coastal,2019,209291.95
243,134.4,3,Suburbs,2012,103050.45
244,45.3,1,Business District,1986,44908.3
245,120.8,3,Downtown,2017,157956.76
246,183.4,5,Suburbs,2018,150931.16
247,132.9,3,Rural,2010,58297.28
248,150.5,4,Suburbs,1980,97299.49
249,149.9,4,Suburbs,1988,94461.29
250,210.4,5,Downtown,1981,205979.65
251,146.6,4,Business District,2000,186050.54
252,173.4,4,Rural,2018,68562.9
253,197.6,5,Downtown,2015,238263.17
254,166.2,4,Downtown,2012,218645.85
255,182.2,5,Suburbs,1981,125175.68
256,140.9,4,Rural,1996,68657.63
257,52.4,1,Coastal,1979,61074.2
258,99.5,2,Downtown,1983,80837.42
259,160.4,4,Downtown,1975,183649.42
260,48.1,1,Downtown,2008,56354.31
261,196.0,5,Downtown,2021,227010.95
262,155.0,4,Business District,2011,243628.54
263,113.7,3,Suburbs,1982,74206.24
264,157.2,4,Downtown,1991,148002.61
265,98.3,2,Rural,2000,45686.18
266,167.2,4,Downtown,1988,190546.54
267,86.9,2,Downtown,1979,101396.13
268,142.3,4,Business District,2002,159203.81
269,40.0,1,Downtown,1999,46402.48
270,115.5,3,Coastal,1999,116951.6
271,74.9,2,Business District,2009,110261.98
272,87.1,2,Suburbs,1982,49518.17
273,197.7,5,Downtown,2013,214307.62
274,147.2,4,Suburbs,2019,119969.81
275,105.6,3,Suburbs,1995,73305.1
276,164.7,4,Downtown,1995,157785.12
277,86.3,2,Coastal,2009,100211.17
278,40.0,1,Suburbs,1985,23213.24
279,40.0,1,Downtown,1999,50516.95
280,59.7,1,Rural,1982,27127.39
281,146.8,4,Downtown,1979,154161.53
282,132.4,3,Business District,2011,203396.29
283,44.7,1,Coastal,2020,80229.42
284,153.4,4,Suburbs,2015,99381.83
285,154.2,4,Rural,1996,67470.62
286,128.3,3,Business District,1994,192551.49
287,158.8,4,Rural,1979,58861.8
288,94.5,2,Downtown,1987,88152.56
289,130.2,3,Rural,1987,45089.85
290,156.2,4,Downtown,1987,193405.67
291,211.7,5,Suburbs,2000,149733.32
292,208.4,5,Downtown,2020,284452.21
293,136.3,3,Downtown,2012,164895.95
294,162.9,4,Business District,2010,220957.12
295,62.4,2,Downtown,1983,59502.82
296,155.7,4,Coastal,1977,186033.2
297,40.0,1,Suburbs,2010,31482.67
298,116.6,3,Business District,1990,137180.88
299,113.8,3,Business District,2015,156397.73
300,116.5,3,Suburbs,2018,97271.02
301,140.7,4,Suburbs,2022,90719.07
302,206.4,5,Business District,2000,285559.33
303,115.7,3,Suburbs,2003,105632.76
304,121.2,3,Rural,2013,59519.35
305,174.8,4,Coastal,1980,201576.58
306,40.0,1,Suburbs,1991,29069.56
307,66.7,2,Business District,1993,87045.39
308,155.9,4,Suburbs,1981,95621.91
309,273.9,7,Coastal,1978,296994.16
310,141.3,4,Suburbs,1978,77955.18
311,155.1,4,Suburbs,2000,117582.63
312,132.6,3,Suburbs,2020,104843.74
313,201.0,5,Business District,2005,260257.01
314,112.1,3,Downtown,2004,113045.95
315,86.3,2,Suburbs,2001,57541.93
316,112.5,3,Coastal,1979,141817.98
317,169.1,4,Suburbs,2017,123961.71
318,273.4,7,Coastal,1996,328382.31
319,145.3,4,Suburbs,2000,93140.87
320,125.6,3,Downtown,1995,120190.63
321,84.4,2,Coastal,2007,106829.55
322,102.5,3,Downtown,1986,95936.16
323,232.9,6,Business District,1977,209944.41
324,153.9,4,Rural,1997,73348.25
325,110.6,3,Coastal,2017,156962.86
326,175.4,4,Suburbs,2023,133883.08
327,173.6,4,Downtown,2018,232508.44
328,158.0,4,Coastal,1997,193643.81
329,190.1,5,Suburbs,2014,173647.97
330,172.7,4,Suburbs,2016,138918.13
331,195.6,5,Suburbs,2014,163312.42
332,167.1,4,Rural,1992,73988.93
333,198.7,5,Business District,1997,283853.81
334,120.3,3,Suburbs,2014,93463.37
335,211.3,5,Downtown,1994,220464.08
336,126.7,3,Business District,1981,142598.56
337,61.3,2,Downtown,1984,74253.37
338,198.2,5,Suburbs,1987,133840.19
339,90.3,2,Suburbs,2011,59148.32
340,194.6,5,Business District,2011,288949.34
341,100.8,3,Suburbs,2009,73392.17
342,199.8,5,Coastal,2019,1167724.8944320248
343,215.3,5,Rural,2001,72104.13
344,140.4,4,Suburbs,1989,102609.84
345,156.8,4,Downtown,1993,170176.84
346,153.7,4,Coastal,2020,218889.95
347,100.0,3,Business District,1989,106311.01
348,138.3,3,Coastal,2001,162787.68
349,154.2,4,Downtown,2001,137397.84
350,114.2,3,Rural,1992,48312.24
351,132.8,3,Rural,1976,44543.79
352,40.0,1,Suburbs,2013,31041.02
353,100.0,3,Rural,2006,36149.58
354,131.0,3,Rural,1993,59866.38
355,158.4,4,Suburbs,1999,132646.11
356,219.3,5,Business District,1977,207867.52
357,126.4,3,Coastal,2022,171665.71
358,114.0,3,Suburbs,2017,60859.42
359,183.3,5,Suburbs,1995,123878.94
360,120.1,3,Business District,1976,127853.42
361,177.6,4,Rural,1986,74744.75
362,212.1,5,Downtown,2001,298200.1
363,220.4,6,Coastal,1994,274274.07
364,57.5,1,Suburbs,2015,47962.96
365,141.3,4,Business District,2014,202909.71
366,185.2,5,Coastal,2006,253872.3
367,198.9,5,Business District,1976,224652.15
