campaign_id,campaign,channel,spend,impressions,clicks,conversions,revenue
1,Summer Sale,Facebook,1631.26,155974,3101,179,6857.86
2,Summer Sale,Google Ads,2623.19,211843,2993,347,25441.74
3,Summer Sale,Instagram,2318.27,213763,8266,446,25774.82
4,Summer Sale,Email,3157.73,326301,17930,509,21819.98
5,Summer Sale,TikTok,1466.17,164404,4513,517,35631.28
6,Back to School,Facebook,1085.7,144392,7734,245,14288.29
7,Back to School,Google Ads,1486.37,166131,7132,343,28665.22
8,Back to School,Instagram,2862.27,405666,20600,2342,150281.67
9,Back to School,Email,2989.52,372191,21747,1875,77989.26
10,Back to School,TikTok,2815.76,415802,5576,398,26869.02
11,Winter Clearance,Facebook,1378.91,205116,7943,788,54367.04
12,Winter Clearance,Google Ads,2005.62,253632,4056,457,27002.12
13,Winter Clearance,Instagram,197.58,21940,1082,55,1789.12
14,Winter Clearance,Email,1683.83,223382,3476,183,6833.82
15,Winter Clearance,TikTok,2485.44,231582,5727,375,13386.66
16,New Year Promo,Facebook,2855.13,298138,7823,687,45616.62
17,New Year Promo,Google Ads,277.21,28463,397,10,365.09
18,New Year Promo,Instagram,3012.19,361501,14208,588,39780.6
19,New Year Promo,Email,1467.13,174985,5240,153,6643.9
20,New Year Promo,TikTok,1815.26,238437,2786,130,6279.74
21,Flash Friday,Facebook,2264.39,250837,4629,355,22759.56
22,Flash Friday,Google Ads,1912.48,252975,9325,618,49060.24
23,Flash Friday,Instagram,2781.24,413341,9573,217,13248.95
24,Flash Friday,Email,1783.81,265338,5491,486,24936.03
25,Flash Friday,TikTok,3024.74,306634,16933,471,37326.99
26,Spring Launch,Facebook,2281.75,294722,10150,1084,57413.28
27,Spring Launch,Google Ads,2065.33,231299,10173,1201,105106.62
28,Spring Launch,Instagram,2464.01,339464,12077,1027,80523.97
29,Spring Launch,Email,1786.77,152477,7589,200,6635.83
30,Spring Launch,TikTok,2392.89,313117,10754,1148,40464.36
