order_id,order_date,customer_id,product,category,quantity,price,discount,region,revenue
10000,2024-06-25,84,Coffee Maker,Home & Kitchen,1,60.04,0.0,Mansoura,60.04
10001,2024-08-25,9,Yoga Mat,Sports,1,48.07,0.0,Alexandria,48.07
10002,2024-09-03,18,Perfume,Beauty,1,12.01,0.05,Mansoura,11.41
10003,2024-04-14,104,Frying Pan,Home & Kitchen,1,77.78,0.05,Mansoura,73.89
10004,2024-02-25,84,Laptop,Electronics,1,404.56,0.0,Giza,404.56
10005,2024-06-21,197,Lipstick,Beauty,1,29.26,0.0,Mansoura,29.26
10006,2024-06-09,24,Water Bottle,Sports,1,70.0,0.0,Giza,70.0
10007,2024-08-01,176,Toaster,Home & Kitchen,1,64.15,0.0,Mansoura,64.15
10008,2024-11-23,130,Comic,Books,1,19.47,0.0,Aswan,19.47
10009,2024-09-20,11,Toaster,Home & Kitchen,2,51.82,0.05,Mansoura,98.46
10010,2024-10-01,3,T-Shirt,Clothing,2,41.74,0.0,Alexandria,83.48
10011,2024-08-18,98,Jacket,Clothing,1,27.69,0.0,Cairo,27.69
10012,2024-05-21,12,Monitor,Electronics,2,272.4,0.0,Mansoura,544.8
10013,2024-08-29,36,Dumbbells,Sports,1,56.25,0.0,Cairo,56.25
10014,2024-12-12,146,Toaster,Home & Kitchen,1,29.79,0.0,Mansoura,29.79
10015,2024-04-22,120,Cap,Clothing,1,35.65,0.0,Giza,35.65
10016,2024-04-30,4,Jeans,Clothing,1,29.21,0.0,Alexandria,29.21
10017,2024-04-10,48,Shampoo,Beauty,2,21.18,0.15,Giza,36.01
10018,2024-11-17,154,Frying Pan,Home & Kitchen,4,44.08,0.0,Giza,176.32
10019,2024-09-07,165,T-Shirt,Clothing,1,34.81,0.0,Cairo,34.81
10020,2024-01-22,110,Yoga Mat,Sports,1,17.16,0.0,Aswan,17.16
10021,2024-04-13,123,Blender,Home & Kitchen,1,29.98,0.0,Alexandria,29.98
10022,2024-10-18,156,USB-C Hub,Electronics,1,247.42,0.0,Mansoura,247.42
10023,2024-03-13,54,Frying Pan,Home & Kitchen,2,60.07,0.1,Giza,108.13
10024,2024-10-29,93,Laptop,Electronics,2,258.87,0.0,Cairo,517.74
10025,2024-04-08,116,Wireless Mouse,Electronics,1,313.52,0.0,Aswan,313.52
10026,2024-07-14,171,Sneakers,Clothing,1,25.13,0.0,Cairo,25.13
10027,2024-08-26,31,Laptop,Electronics,2,302.39,0.0,Mansoura,604.78
10028,2024-09-27,192,Running Shoes,Sports,1,49.97,0.0,Mansoura,49.97
10029,2024-03-22,105,Bicycle Helmet,Sports,1,50.9,0.05,Cairo,48.36
10030,2024-11-24,176,Blender,Home & Kitchen,2,62.14,0.0,Alexandria,124.28
10031,2024-11-11,141,Jeans,Clothing,1,33.41,0.1,Cairo,30.07
10032,2024-04-10,151,USB-C Hub,Electronics,1,311.3,0.2,Alexandria,249.04
10033,2024-03-17,195,Bicycle Helmet,Sports,1,57.49,0.0,Alexandria,57.49
10034,2024-12-07,107,Dumbbells,Sports,2,65.64,0.05,Cairo,124.72
10035,2024-12-12,189,Coffee Maker,Home & Kitchen,1,67.63,0.0,Giza,67.63
10036,2024-11-10,41,Toaster,Home & Kitchen,1,73.18,0.0,Cairo,73.18
10037,2024-01-07,59,Frying Pan,Home & Kitchen,1,76.4,0.0,Aswan,76.4
10038,2024-12-07,65,Toaster,Home & Kitchen,1,63.14,0.0,Cairo,63.14
10039,2024-12-06,15,Jacket,Clothing,1,50.9,0.0,Giza,50.9
10040,2024-12-15,108,Cap,Clothing,2,39.06,0.2,Giza,62.5
10041,2024-12-13,33,Wireless Mouse,Electronics,3,316.35,0.0,Aswan,949.05
10042,2024-07-11,84,Frying Pan,Home & Kitchen,2,42.99,0.0,Cairo,85.98
10043,2024-08-03,28,T-Shirt,Clothing,1,26.75,0.0,Aswan,26.75
10044,2024-07-24,174,Textbook,Books,1,6.09,0.0,Cairo,6.09
10045,2024-09-20,127,Wireless Mouse,Electronics,1,212.88,0.0,Giza,212.88
10046,2024-10-03,24,Bicycle Helmet,Sports,1,77.48,0.0,Cairo,77.48
10047,2024-11-03,13,Novel,Books,1,11.51,0.0,Cairo,11.51
10048,2024-09-13,173,Textbook,Books,2,13.49,0.1,Alexandria,24.28
10049,2024-07-21,44,Textbook,Books,2,7.73,0.0,Cairo,15.46
10050,2024-11-29,171,Sunscreen,Beauty,1,17.39,0.2,Cairo,13.91
10051,2024-05-31,15,Laptop,Electronics,1,249.74,0.1,Cairo,224.77
10052,2024-12-19,165,Jeans,Clothing,2,48.57,0.0,Alexandria,97.14
10053,2024-12-23,61,Bicycle Helmet,Sports,1,42.46,0.2,Alexandria,33.97
10054,2024-04-04,145,Monitor,Electronics,1,155.0,0.0,Giza,155.0
10055,2024-04-13,152,Running Shoes,Sports,2,42.8,0.0,Cairo,85.6
10056,2024-12-27,151,USB-C Hub,Electronics,2,155.43,0.0,Mansoura,310.86
10057,2024-06-08,116,Cutlery Set,Home & Kitchen,1,11.07,0.0,Giza,11.07
10058,2024-05-25,77,USB-C Hub,Electronics,2,333.97,0.1,Alexandria,601.15
10059,2024-12-27,15,Headphones,Electronics,2,270.7,0.0,Giza,541.4
10060,2024-10-09,146,Sunscreen,Beauty,1,32.12,0.0,Cairo,32.12
10061,2024-03-22,123,Toaster,Home & Kitchen,1,54.55,0.0,Cairo,54.55
10062,2024-10-01,38,Cap,Clothing,1,40.56,0.0,Cairo,40.56
10063,2024-02-07,130,Biography,Books,1,11.93,0.0,Mansoura,11.93
10064,2024-12-03,7,Cutlery Set,Home & Kitchen,1,78.27,0.15,Alexandria,66.53
10065,2024-06-20,48,Jacket,Clothing,1,45.04,0.1,Cairo,40.54
10066,2024-10-25,39,Sunscreen,Beauty,2,14.45,0.0,Aswan,28.9
10067,2024-03-30,198,Jeans,Clothing,1,24.37,0.0,Cairo,24.37
10068,2024-03-30,166,Laptop,Electronics,1,217.93,0.1,Cairo,196.14
10069,2024-05-24,7,Cap,Clothing,1,57.25,0.0,Mansoura,57.25
10070,2024-09-10,200,Comic,Books,1,23.98,0.0,Alexandria,23.98
10071,2024-09-26,13,Yoga Mat,Sports,1,61.69,0.0,Cairo,61.69
10072,2024-05-30,76,Water Bottle,Sports,1,46.02,0.0,Cairo,46.02
10073,2024-07-29,39,Laptop,Electronics,1,300.13,0.0,Cairo,300.13
10074,2024-06-05,153,USB-C Hub,Electronics,1,224.31,0.0,Cairo,224.31
10075,2024-06-19,186,Jeans,Clothing,1,32.93,0.2,Alexandria,26.34
10076,2024-09-22,189,Laptop,Electronics,2,279.0,0.0,Cairo,558.0
10077,2024-09-16,65,Yoga Mat,Sports,1,42.41,0.0,Alexandria,42.41
10078,2024-11-10,191,Textbook,Books,2,21.07,0.05,Alexandria,40.03
10079,2024-04-26,90,Sneakers,Clothing,2,30.74,0.0,Aswan,61.48
10080,2024-12-10,34,Headphones,Electronics,1,185.92,0.0,Cairo,185.92
10081,2024-05-11,182,Headphones,Electronics,2,139.05,0.0,Alexandria,278.1
10082,2024-03-13,99,Blender,Home & Kitchen,1,61.95,0.1,Cairo,55.76
10083,2024-10-24,142,Running Shoes,Sports,1,44.18,0.0,Alexandria,44.18
10084,2024-12-24,28,Cap,Clothing,1,35.82,0.0,Giza,35.82
10085,2024-12-01,45,Frying Pan,Home & Kitchen,1,70.98,0.05,Alexandria,67.43
10086,2024-04-28,166,Monitor,Electronics,1,276.98,0.05,Giza,263.13
10087,2024-07-06,148,Toaster,Home & Kitchen,1,72.59,0.1,Cairo,65.33
10088,2024-09-13,59,USB-C Hub,Electronics,1,272.1,0.0,Alexandria,272.1
10089,2024-11-11,153,Laptop,Electronics,1,360.04,0.1,Cairo,324.04
10090,2024-11-06,69,Frying Pan,Home & Kitchen,1,61.96,0.1,Mansoura,55.76
10091,2024-05-25,56,Laptop,Electronics,2,222.02,0.0,Alexandria,444.04
10092,2024-05-08,177,Headphones,Electronics,1,325.82,0.0,Cairo,325.82
10093,2024-10-03,180,Sneakers,Clothing,1,38.61,0.0,Aswan,38.61
