subscription_id,user_id,plan,monthly_fee,signup_date,cancel_date,country,referral_source,autopay
8000,281,Standard,9.99,2024-03-15,,Jordan,Organic,True
8001,137,Basic,4.99,2024-02-18,,Lebanon,Ad Campaign,True
8002,46,Basic,4.99,2023-10-06,2023-11-19,Egypt,Ad Campaign,False
8003,282,Basic,4.99,2024-02-07,,Saudi Arabia,Partner,True
8004,182,Basic,4.99,2024-07-25,2024-11-05,UAE,Ad Campaign,False
8005,313,Basic,4.99,2024-08-11,,Jordan,Referral,True
8006,114,Premium,14.99,2023-10-05,,UAE,Social Media,False
8007,121,Standard,9.99,2023-12-17,,Morocco,Referral,False
8008,4,Standard,9.99,2024-05-18,,Morocco,Referral,False
8009,110,Basic,4.99,2023-07-31,,Saudi Arabia,Referral,True
8010,241,Basic,4.99,2023-06-08,,Morocco,Organic,True
8011,65,Basic,4.99,2024-03-24,,Saudi Arabia,Referral,True
8012,85,Basic,4.99,2024-02-09,,Lebanon,Organic,True
8013,17,Standard,9.99,2024-09-14,,Morocco,Organic,False
8014,87,Standard,9.99,2023-12-21,,Egypt,Referral,True
8015,78,Basic,4.99,2023-06-04,,Egypt,Partner,False
8016,222,Standard,9.99,2023-11-29,,UAE,Organic,True
8017,112,Standard,9.99,2023-09-01,,Morocco,Referral,False
8018,88,Premium,14.99,2023-08-20,,Jordan,Partner,True
8019,261,Basic,4.99,2023-06-25,2024-03-15,UAE,Ad Campaign,True
8020,178,Basic,4.99,2024-08-11,2024-09-28,Morocco,Referral,False
8021,28,Premium,14.99,2024-09-15,,Jordan,Social Media,False
8022,163,Basic,4.99,2024-01-30,,Morocco,Referral,True
8023,193,Basic,4.99,2023-07-06,,UAE,Social Media,True
8024,259,Standard,9.99,2023-10-07,,Morocco,Partner,True
8025,179,Basic,4.99,2024-01-28,2024-05-10,UAE,Referral,True
8026,34,Standard,9.99,2024-09-29,,Saudi Arabia,Referral,True
8027,51,Basic,4.99,2024-07-08,,Saudi Arabia,Social Media,False
8028,118,Standard,9.99,2023-08-23,,UAE,Partner,False
8029,314,Basic,4.99,2024-09-26,,Jordan,Referral,False
8030,57,Basic,4.99,2024-03-06,,Egypt,Referral,True
8031,326,Standard,9.99,2024-04-10,2024-07-05,Morocco,Organic,True
8032,207,Basic,4.99,2023-09-04,,Morocco,Referral,True
8033,237,Basic,4.99,2023-10-22,,Jordan,Partner,True
8034,297,Standard,9.99,2023-08-26,,Egypt,Social Media,False
8035,151,Basic,4.99,2023-08-05,,Egypt,Organic,True
8036,274,Standard,9.99,2023-09-12,2023-10-12,Morocco,Ad Campaign,True
8037,110,Standard,9.99,2023-10-06,2023-11-15,Jordan,Social Media,True
8038,208,Basic,4.99,2024-05-22,,Morocco,Social Media,True
8039,170,Standard,9.99,2023-09-30,,Saudi Arabia,Social Media,True
8040,146,Basic,4.99,2023-12-15,,Egypt,Ad Campaign,True
8041,347,Standard,9.99,2024-03-02,,Egypt,Referral,True
8042,145,Premium,14.99,2023-12-06,,Lebanon,Social Media,False
8043,8,Standard,9.99,2024-06-14,2024-11-07,UAE,Organic,True
8044,43,Standard,9.99,2024-09-10,2024-12-29,Lebanon,Referral,True
8045,324,Basic,4.99,2023-12-24,2024-02-10,Lebanon,Social Media,True
8046,286,Standard,9.99,2024-08-26,2024-10-16,Morocco,Ad Campaign,False
8047,52,Premium,14.99,2024-09-15,2024-12-10,Jordan,Referral,False
8048,266,Basic,4.99,2023-12-23,,Saudi Arabia,Organic,True
8049,174,Basic,4.99,2024-08-30,,Morocco,Referral,True
8050,280,Basic,4.99,2024-08-10,,Morocco,Social Media,True
8051,136,Basic,4.99,2024-02-25,,UAE,Referral,True
8052,149,Standard,9.99,2024-02-29,,Lebanon,Referral,True
8053,54,Standard,9.99,2024-04-17,,Morocco,Organic,True
8054,248,Basic,4.99,2024-07-02,,Lebanon,Organic,False
8055,241,Basic,4.99,2024-08-15,2024-08-24,Saudi Arabia,Partner,False
8056,178,Standard,9.99,2023-11-06,,Saudi Arabia,Referral,False
8057,135,Basic,4.99,2024-06-26,2024-08-19,Egypt,Referral,False
8058,66,Standard,9.99,2023-11-15,,Saudi Arabia,Social Media,True
8059,189,Standard,9.99,2023-06-04,2023-07-03,Saudi Arabia,Organic,True
8060,147,Basic,4.99,2024-09-20,,Morocco,Social Media,False
8061,39,Premium,14.99,2024-02-23,,UAE,Ad Campaign,True
8062,260,Standard,9.99,2023-07-24,,Morocco,Social Media,True
8063,134,Basic,4.99,2024-06-08,,Saudi Arabia,Social Media,True
8064,149,Standard,9.99,2024-08-30,2024-09-16,Egypt,Referral,True
8065,248,Standard,9.99,2023-07-27,,UAE,Social Media,True
8066,83,Premium,14.99,2024-09-08,,Saudi Arabia,Referral,False
8067,116,Basic,4.99,2024-04-16,2024-08-26,UAE,Referral,True
8068,35,Basic,4.99,2024-09-23,,Egypt,Organic,True
8069,226,Basic,4.99,2024-09-16,,Morocco,Social Media,True
8070,96,Standard,9.99,2023-06-13,,Morocco,Partner,False
8071,132,Standard,9.99,2023-07-12,,Morocco,Referral,True
8072,139,Basic,4.99,2024-04-01,,Jordan,Partner,True
8073,45,Premium,14.99,2024-07-27,,Egypt,Ad Campaign,False
8074,263,Standard,9.99,2023-08-22,2023-08-25,Egypt,Referral,True
8075,292,Standard,9.99,2023-12-14,,Saudi Arabia,Organic,True
8076,138,Basic,4.99,2024-07-07,,Morocco,Partner,True
8077,199,Basic,4.99,2024-07-10,,Lebanon,Referral,False
8078,337,Premium,14.99,2023-12-07,,UAE,Social Media,False
8079,337,Basic,4.99,2023-11-22,,Lebanon,Organic,True
8080,95,Basic,4.99,2023-08-15,,Egypt,Social Media,True
8081,253,Basic,4.99,2024-02-05,,UAE,Social Media,True
8082,20,Basic,4.99,2024-02-11,,Morocco,Organic,True
8083,97,Premium,14.99,2024-02-28,,Morocco,Ad Campaign,True
8084,85,Standard,9.99,2024-01-29,,UAE,Referral,True
8085,92,Standard,9.99,2023-06-27,,UAE,Partner,True
8086,130,Basic,4.99,2024-07-27,,Lebanon,Social Media,False
8087,333,Premium,14.99,2023-09-10,,Morocco,Organic,True
8088,109,Basic,4.99,2023-09-20,,Jordan,Social Media,True
8089,78,Basic,4.99,2024-03-22,2024-04-10,Jordan,Organic,False
8090,140,Basic,4.99,2024-08-16,,Egypt,Social Media,False
8091,302,Basic,4.99,2023-11-16,,UAE,Social Media,False
8092,73,Premium,14.99,2024-03-09,,Saudi Arabia,Referral,True
8093,219,Standard,9.99,2024-02-10,,Lebanon,Ad Campaign,False
8094,105,Standard,9.99,2023-07-09,,Jordan,Referral,False
8095,221,Basic,4.99,2024-06-20,,UAE,Partner,True
8096,262,Basic,4.99,2024-02-21,,UAE,Organic,True
8097,145,Premium,14.99,2023-12-28,,Lebanon,Organic,True
8098,334,Standard,9.99,2023-10-17,2024-01-31,Jordan,Social Media,True
8099,56,Premium,14.99,2024-08-01,,Morocco,Social Media,True
8100,134,Premium,14.99,2024-04-27,,UAE,Organic,True
8101,93,Standard,9.99,2023-08-02,2023-12-28,Lebanon,Ad Campaign,True
8102,60,Standard,9.99,2023-12-12,,UAE,Referral,False
8103,261,Basic,4.99,2023-10-24,2024-06-25,Jordan,Social Media,False
8104,240,Standard,9.99,2024-07-03,,Morocco,Ad Campaign,True
8105,43,Standard,9.99,2024-01-22,2024-03-27,Jordan,Organic,False
8106,106,Premium,14.99,2023-07-13,,Jordan,Organic,True
8107,10,Basic,4.99,2024-10-01,2024-10-04,UAE,Partner,True
